Timestamp,Throughput
1710229384140,0.0
1710229394144,216.148695912861
1710229404144,237.76678162643074
1710229414139,224.4850343310446
1710229424144,224.585697502937
1710229434148,228.9896222830977
1710229444142,231.48070994083827
1710229454141,235.029426889892
1710229464144,236.7042883747672
1710229474147,237.96244861682035
1710229484142,239.67801609919505
1710229494162,240.20904339922743
1710229504141,241.4419519349355
1710229514143,241.9426795686353
1710229524144,242.49501810623752
1710229534142,242.9652344921836
1710229544146,242.76759432281935
1710229554141,241.98842380179292
1710229564145,241.18928047642325
1710229574143,239.66611580686924
1710229584143,239.63281101566952
1710229594141,240.23828117559665
1710229604146,240.5856124067652
1710229614141,241.2262395436601
1710229624144,241.25129683717557
1710229634144,241.6372341574436
1710229644151,241.85620774266
1710229654146,242.1400768122544
1710229664145,242.26807805491273
1710229674145,242.682960470056
1710229684144,242.25768065411808
1710229694147,242.23089577755556
1710229704147,242.31117777569452
1710229714145,242.38806331967712
1710229724143,242.24572507543988
1710229734154,242.5510760905899
1710229744146,242.5661580682705
1710229754147,242.92586686846303
1710229764142,243.31521953658506
1710229774147,243.47580831260737
1710229784143,243.57884631730525
1710229794147,243.69649520743397
1710229804145,243.90487800232378
1710229814147,244.08734680588825
1710229824148,244.5120690164564
1710229834146,244.73288312011536
1710229844146,244.76695021184366
1710229854148,245.0155421894381
1710229864148,245.0485509707069
1710229874146,245.06080500562234
1710229884148,245.3246028587371
1710229894148,245.46725462784136
1710229904144,245.6005399927309
1710229914146,245.83167455646978
1710229924143,245.84726836368486
1710229934148,246.0641696256984
1710229944145,246.282195968629
1710229954146,246.34347878717705
1710229964145,246.2569481800251
1710229974147,246.4670090337452
1710229984148,246.54547999953334
1710229994145,246.74594431548437
1710230004148,246.82142736177263
1710230014147,246.8214790241425
1710230024149,246.8281844715412
1710230034149,246.923133726762
1710230044148,246.2398353966828
1710230054148,246.0690943880026
1710230064145,245.98681191985975
1710230074147,246.00947812350546
1710230084147,245.9093441522264
1710230094148,246.1356232509074
1710230104149,246.05006583223616
1710230114146,246.072308697564
1710230124148,245.81931890201633
1710230134150,246.0224022783605
1710230144150,245.99579217723905
1710230154148,246.11336721163724
1710230164150,246.08948825211885
1710230174150,245.9870913516613
1710230184149,245.89006164907528
1710230194147,245.7907927062629
